GeneSym	NA	GeneID
CLDN11	na	5010
CLDN12	na	9069
CLDN14	na	23562
CLDN15	na	24146
CLDN16	na	10686
CLDN17	na	26285
CLDN18	na	51208
CLDN19	na	149461
CLDN2	na	9075
CLDN20	na	49861
CLDN22	na	53842
CLDN23	na	137075
CLDN24	na	100132463
CLDN25	na	644672
CLDN3	na	1365
CLDN4	na	1364
CLDN5	na	7122
CLDN6	na	9074
CLDN7	na	1366
CLDN8	na	9073
CLDN9	na	9080
CLDND1	na	56650
CLDND2	na	125875
CLEC10A	na	10462
CLEC11A	na	6320
CLEC12A	na	160364
CLEC12B	na	387837
CLEC14A	na	161198
CLEC16A	na	23274
CLEC17A	na	388512
CLEC18A	na	348174
CLEC18B	na	497190
CLEC18C	na	283971
CLEC1A	na	51267
CLEC1B	na	51266
CLEC2A	na	387836
CLEC2B	na	9976
CLEC2D	na	29121
CLEC2L	na	154790
CLEC3A	na	10143
CLEC3B	na	7123
CLEC4A	na	50856
CLEC4C	na	170482
CLEC4D	na	338339
CLEC4E	na	26253
CLEC4F	na	165530
CLEC4G	na	339390
CLEC4GP1	na	440508
CLEC4M	na	10332
CLEC5A	na	23601
CLEC6A	na	93978
CLEC7A	na	64581
CLEC9A	na	283420
CLECL1	na	160365
CLGN	na	1047
CLHC1	na	130162
CLIC1	na	1192
CLIC2	na	1193
CLIC3	na	9022
CLIC4	na	25932
CLIC5	na	53405
CLIC6	na	54102
CLINT1	na	9685
CLIP1	na	6249
CLIP2	na	7461
CLIP3	na	25999
CLIP4	na	79745
CLK1	na	1195
CLK2	na	1196
CLK2P	na	1197
CLK3	na	1198
CLK4	na	57396
CLLU1	na	574028
CLLU1OS	na	574016
CLMN	na	79789
CLMP	na	79827
CLN3	na	1201
CLN5	na	1203
CLN6	na	54982
CLN8	na	2055
CLNK	na	116449
CLNS1A	na	1207
CLOCK	na	9575
CLP1	na	10978
CLPB	na	81570
CLPP	na	8192
CLPS	na	1208
CLPSL1	na	340204
CLPSL2	na	389383
CLPTM1	na	1209
CLPTM1L	na	81037
CLPX	na	10845
CLRN1	na	7401
CLRN1-AS1	na	116933
CLRN2	na	645104
CLRN3	na	119467
CLSPN	na	63967
CLSTN1	na	22883
CLSTN2	na	64084
CLSTN3	na	9746
CLTA	na	1211
CLTB	na	1212
CLTC	na	1213
CLTCL1	na	8218
CLU	na	1191
CLUAP1	na	23059
CLUH	na	23277
CLUHP3	na	100132341
CLUL1	na	27098
CLVS1	na	157807
CLVS2	na	134829
CLYBL	na	171425
CMA1	na	1215
CMAHP	na	8418
CMAS	na	55907
CMBL	na	134147
CMC1	na	152100
CMC2	na	56942
CMC4	na	100272147
CMIP	na	80790
CMKLR1	na	1240
CMPK1	na	51727
CMPK2	na	129607
CMSS1	na	84319
CMTM1	na	113540
CMTM2	na	146225
CMTM3	na	123920
CMTM4	na	146223
CMTM5	na	116173
CMTM6	na	54918
CMTM7	na	112616
CMTM8	na	152189
CMTR1	na	23070
CMTR2	na	55783
CMYA5	na	202333
CNBD1	na	168975
CNBD2	na	140894
CNBP	na	7555
CNDP1	na	84735
CNDP2	na	55748
CNEP1R1	na	255919
CNFN	na	84518
CNGA1	na	1259
CNGA2	na	1260
CNGA3	na	1261
CNGA4	na	1262
CNGB1	na	1258
CNGB3	na	54714
CNIH1	na	10175
CNIH2	na	254263
CNIH3	na	149111
CNIH4	na	29097
CNKSR1	na	10256
CNKSR2	na	22866
CNKSR3	na	154043
CNN1	na	1264
CNN2	na	1265
CNN3	na	1266
CNNM1	na	26507
CNNM2	na	54805
CNNM3	na	26505
CNNM4	na	26504
CNOT1	na	23019
CNOT10	na	25904
CNOT11	na	55571
CNOT2	na	4848
CNOT3	na	4849
CNOT4	na	4850
CNOT6	na	57472
CNOT6L	na	246175
CNOT7	na	29883
CNOT8	na	9337
CNP	na	1267
CNPPD1	na	27013
CNPY1	na	285888
CNPY2	na	10330
CNPY3	na	10695
CNPY4	na	245812
CNR1	na	1268
CNR2	na	1269
CNRIP1	na	25927
CNST	na	163882
CNTD1	na	124817
CNTD2	na	79935
CNTF	na	1270
CNTFR	na	1271
CNTLN	na	54875
CNTN1	na	1272
CNTN2	na	6900
CNTN3	na	5067
CNTN4	na	152330
CNTN5	na	53942
CNTN6	na	27255
CNTNAP1	na	8506
CNTNAP2	na	26047
CNTNAP3	na	79937
CNTNAP3B	na	728577
CNTNAP4	na	85445
CNTNAP5	na	129684
CNTRL	na	11064
CNTROB	na	116840
COA1	na	55744
COA3	na	28958
COA4	na	51287
COA5	na	493753
COA6	na	388753
COA7	na	65260
COASY	na	80347
COBL	na	23242
COBLL1	na	22837
COCH	na	1690
COG1	na	9382
COG2	na	22796
COG3	na	83548
COG4	na	25839
COG5	na	10466
COG6	na	57511
COG7	na	91949
COG8	na	84342
COIL	na	8161
COL10A1	na	1300
COL11A1	na	1301
COL11A2	na	1302
COL12A1	na	1303
COL13A1	na	1305
COL14A1	na	7373
COL15A1	na	1306
COL16A1	na	1307
COL17A1	na	1308
COL18A1	na	80781
COL18A1-AS1	na	378832
COL19A1	na	1310
COL1A1	na	1277
COL1A2	na	1278
COL20A1	na	57642
COL21A1	na	81578
COL22A1	na	169044
COL23A1	na	91522
COL24A1	na	255631
COL25A1	na	84570
COL26A1	na	136227
COL27A1	na	85301
COL28A1	na	340267
COL2A1	na	1280
COL3A1	na	1281
COL4A1	na	1282
COL4A2	na	1284
COL4A3	na	1285
COL4A3BP	na	10087
COL4A4	na	1286
COL4A5	na	1287
COL4A6	na	1288
COL5A1	na	1289
COL5A2	na	1290
COL5A3	na	50509
COL6A1	na	1291
COL6A2	na	1292
COL6A3	na	1293
COL6A4P1	na	344875
COL6A4P2	na	646300
COL6A5	na	256076
COL6A6	na	131873
COL7A1	na	1294
COL8A1	na	1295
COL8A2	na	1296
COL9A1	na	1297
COL9A2	na	1298
COL9A3	na	1299
COLCA1	na	399948
COLCA2	na	120376
COLEC10	na	10584
COLEC11	na	78989
COLEC12	na	81035
COLGALT1	na	79709
COLGALT2	na	23127
COLQ	na	8292
COMMD1	na	150684
COMMD10	na	51397
COMMD2	na	51122
COMMD3	na	23412
COMMD3-BMI1	na	100532731
COMMD4	na	54939
COMMD5	na	28991
COMMD6	na	170622
COMMD7	na	149951
COMMD8	na	54951
COMMD9	na	29099
COMP	na	1311
COMT	na	1312
COMTD1	na	118881
COPA	na	1314
COPB1	na	1315
COPB2	na	9276
COPE	na	11316
COPG1	na	22820
COPG2	na	26958
COPRS	na	55352
COPS2	na	9318
COPS3	na	8533
COPS4	na	51138
COPS5	na	10987
COPS6	na	10980
COPS7A	na	50813
COPS7B	na	64708
COPS8	na	10920
COPZ1	na	22818
COPZ2	na	51226
COQ10A	na	93058
COQ10B	na	80219
COQ2	na	27235
COQ3	na	51805
COQ4	na	51117
COQ5	na	84274
COQ6	na	51004
COQ7	na	10229
COQ9	na	57017
CORIN	na	10699
CORO1A	na	11151
CORO1B	na	57175
CORO1C	na	23603
CORO2A	na	7464
CORO2B	na	10391
CORO6	na	84940
CORO7	na	79585
CORO7-PAM16	na	100529144
CORT	na	1325
COTL1	na	23406
COX10	na	1352
COX11	na	1353
COX14	na	84987
COX15	na	1355
COX16	na	51241
COX17	na	10063
COX18	na	285521
COX19	na	90639
COX20	na	116228
COX4I1	na	1327
COX4I2	na	84701
COX5A	na	9377
COX5B	na	1329
COX6A1	na	1337
COX6A2	na	1339
COX6B1	na	1340
COX6B2	na	125965
COX6C	na	1345
COX7A1	na	1346
COX7A2	na	1347
COX7A2L	na	9167
COX7B	na	1349
COX7B2	na	170712
COX7C	na	1350
COX8A	na	1351
COX8BP	na	404544
COX8C	na	341947
CP	na	1356
CPA1	na	1357
CPA2	na	1358
CPA3	na	1359
CPA4	na	51200
CPA5	na	93979
CPA6	na	57094
CPAMD8	na	27151
CPB1	na	1360
CPB2	na	1361
CPD	na	1362
CPE	na	1363
CPEB1	na	64506
CPEB2	na	132864
CPEB3	na	22849
CPEB4	na	80315
CPED1	na	79974
CPLX1	na	10815
CPLX2	na	10814
CPLX3	na	594855
CPLX4	na	339302
CPM	na	1368
CPN1	na	1369
CPN2	na	1370
CPNE1	na	8904
CPNE2	na	221184
CPNE3	na	8895
CPNE4	na	131034
CPNE5	na	57699
CPNE6	na	9362
CPNE7	na	27132
CPNE8	na	144402
CPNE9	na	151835
CPO	na	130749
CPOX	na	1371
CPPED1	na	55313
CPQ	na	10404
CPS1	na	1373
CPS1-IT1	na	29034
CPSF1	na	29894
CPSF2	na	53981
CPSF3	na	51692
CPSF3L	na	54973
CPSF4	na	10898
CPSF4L	na	642843
CPSF6	na	11052
CPSF7	na	79869
CPT1A	na	1374
CPT1B	na	1375
CPT1C	na	126129
CPT2	na	1376
CPTP	na	80772
CPVL	na	54504
CPXCR1	na	53336
CPXM1	na	56265
CPXM2	na	119587
CPZ	na	8532
CR1	na	1378
CR1L	na	1379
CR2	na	1380
CRABP1	na	1381
CRABP2	na	1382
CRACR2A	na	84766
CRACR2B	na	283229
CRADD	na	8738
CRAMP1L	na	57585
CRAT	na	1384
CRB1	na	23418
CRB2	na	286204
CRB3	na	92359
CRBN	na	51185
CRCP	na	27297
CRCT1	na	54544
CREB1	na	1385
CREB3	na	10488
CREB3L1	na	90993
CREB3L2	na	64764
CREB3L3	na	84699
CREB3L4	na	148327
CREB5	na	9586
CREBBP	na	1387
CREBL2	na	1389
CREBRF	na	153222
CREBZF	na	58487
CREG1	na	8804
CREG2	na	200407
CRELD1	na	78987
CRELD2	na	79174
CREM	na	1390
CRH	na	1392
CRHBP	na	1393
CRHR1	na	1394
CRHR1-IT1	na	147081
CRHR2	na	1395
CRIM1	na	51232
CRIP1	na	1396
CRIP2	na	1397
CRIP3	na	401262
CRIPAK	na	285464
CRIPT	na	9419
CRISP1	na	167
CRISP2	na	7180
CRISP3	na	10321
CRISPLD1	na	83690
CRISPLD2	na	83716
CRK	na	1398
CRKL	na	1399
CRLF1	na	9244
CRLF2	na	64109
CRLF3	na	51379
CRLS1	na	54675
CRMP1	na	1400
CRNDE	na	643911
CRNKL1	na	51340
CRNN	na	49860
CROCC	na	9696
CROCCP2	na	84809
CROCCP3	na	114819
CROT	na	54677
CRP	na	1401
CRSP8P	na	441089
CRTAC1	na	55118
CRTAM	na	56253
CRTAP	na	10491
CRTC1	na	23373
CRTC2	na	200186
CRTC3	na	64784
CRX	na	1406
CRY1	na	1407
CRY2	na	1408
CRYAA	na	1409
CRYAB	na	1410
CRYBA1	na	1411
CRYBA2	na	1412
CRYBA4	na	1413
CRYBB1	na	1414
CRYBB2	na	1415
CRYBB2P1	na	1416
CRYBB3	na	1417
CRYBG3	na	131544
CRYGA	na	1418
CRYGB	na	1419
CRYGC	na	1420
CRYGD	na	1421
CRYGN	na	155051
CRYGS	na	1427
CRYL1	na	51084
CRYM	na	1428
CRYM-AS1	na	400508
CRYZ	na	1429
CRYZL1	na	9946
CS	na	1431
CSAD	na	51380
CSAG1	na	158511
CSAG2	na	102723547
CSAG3	na	389903
CSDC2	na	27254
CSDE1	na	7812
CSE1L	na	1434
CSF1	na	1435
CSF1R	na	1436
CSF2	na	1437
CSF2RA	na	1438
CSF2RB	na	1439
CSF2RBP1	na	23772
CSF3	na	1440
CSF3R	na	1441
CSGALNACT1	na	55790
CSGALNACT2	na	55454
CSH1	na	1442
CSH2	na	1443
CSHL1	na	1444
CSK	na	1445
CSMD1	na	64478
CSMD2	na	114784
CSMD3	na	114788
CSN1S1	na	1446
CSN1S2AP	na	286828
CSN1S2BP	na	100337616
CSN2	na	1447
CSN3	na	1448
CSNK1A1	na	1452
CSNK1A1L	na	122011
CSNK1A1P1	na	161635
CSNK1D	na	1453
CSNK1E	na	1454
CSNK1G1	na	53944
CSNK1G2	na	1455
CSNK1G2-AS1	na	255193
CSNK1G3	na	1456
CSNK2A1	na	1457
CSNK2A2	na	1459
CSNK2A3	na	283106
CSNK2B	na	1460
CSPG4	na	1464
CSPG4P1Y	na	114758
CSPG5	na	10675
CSPP1	na	79848
CSRNP1	na	64651
CSRNP2	na	81566
CSRNP3	na	80034
CSRP1	na	1465
CSRP2	na	1466
CSRP2BP	na	57325
CSRP3	na	8048
CST1	na	1469
CST11	na	140880
CST13P	na	164380
CST2	na	1470
CST3	na	1471
CST4	na	1472
CST5	na	1473
CST6	na	1474
CST7	na	8530
CST8	na	10047
CST9	na	128822
CST9L	na	128821
CSTA	na	1475
CSTB	na	1476
CSTF1	na	1477
CSTF2	na	1478
CSTF2T	na	23283
CSTF3	na	1479
CSTL1	na	128817
CT45A1	na	541466
CT45A2	na	728911
CT45A3	na	441519
CT45A4	na	441520
CT45A5	na	441521
CT45A6	na	541465
CT47A7	na	653282
CT47B1	na	643311
CT55	na	54967
CT62	na	196993
CT83	na	203413
CTAG1A	na	246100
CTAG1B	na	1485
CTAG2	na	30848
CTAGE1	na	64693
CTAGE10P	na	220429
CTAGE11P	na	647288
CTAGE15	na	441294
CTAGE4	na	100128553
CTAGE5	na	4253
CTAGE6	na	340307
CTAGE7P	na	119437
CTAGE9	na	643854
CTBP1	na	1487
CTBP1-AS2	na	92070
CTBP2	na	1488
CTBS	na	1486
CTC1	na	80169
CTCF	na	10664
CTCFL	na	140690
CTDNEP1	na	23399
CTDP1	na	9150
CTDSP1	na	58190
CTDSP2	na	10106
CTDSPL	na	10217
CTDSPL2	na	51496
CTF1	na	1489
CTGF	na	1490
CTH	na	1491
CTHRC1	na	115908
CTIF	na	9811
CTLA4	na	1493
CTNNA1	na	1495
CTNNA2	na	1496
CTNNA3	na	29119
CTNNAL1	na	8727
CTNNB1	na	1499
CTNNBIP1	na	56998
CTNNBL1	na	56259
CTNND1	na	1500
CTNND2	na	1501
CTNS	na	1497
CTPS1	na	1503
CTPS2	na	56474
CTR9	na	9646
CTRB1	na	1504
CTRB2	na	440387
CTRC	na	11330
CTRL	na	1506
CTSA	na	5476
CTSB	na	1508
CTSC	na	1075
CTSD	na	1509
CTSE	na	1510
CTSF	na	8722
CTSG	na	1511
CTSH	na	1512
CTSK	na	1513
CTSL	na	1514
CTSL3P	na	392360
CTSLP2	na	1517
CTSLP8	na	1518
CTSO	na	1519
CTSS	na	1520
CTSV	na	1515
CTSW	na	1521
CTSZ	na	1522
CTTN	na	2017
CTTNBP2	na	83992
CTTNBP2NL	na	55917
CTU1	na	90353
CTU2	na	348180
CTXN1	na	404217
CTXN2	na	399697
CTXN3	na	613212
CUBN	na	8029
CUEDC1	na	404093
CUEDC2	na	79004
CUL1	na	8454
CUL2	na	8453
CUL3	na	8452
CUL4A	na	8451
CUL4B	na	8450
CUL5	na	8065
CUL7	na	9820
CUL9	na	23113
CUTA	na	51596
CUTC	na	51076
CUX1	na	1523
CUX2	na	23316
CUZD1	na	50624
CWC15	na	51503
CWC22	na	57703
CWC25	na	54883
CWC27	na	10283
CWF19L1	na	55280
CWF19L2	na	143884
CWH43	na	80157
CX3CL1	na	6376
CX3CR1	na	1524
CXADR	na	1525
CXADRP2	na	646243
CXADRP3	na	440224
CXCL1	na	2919
CXCL10	na	3627
CXCL11	na	6373
CXCL12	na	6387
CXCL13	na	10563
CXCL14	na	9547
CXCL16	na	58191
CXCL17	na	284340
CXCL2	na	2920
CXCL3	na	2921
CXCL5	na	6374
CXCL6	na	6372
CXCL8	na	3576
CXCL9	na	4283
CXCR1	na	3577
CXCR2	na	3579
CXCR2P1	na	3580
CXCR3	na	2833
CXCR4	na	7852
CXCR5	na	643
CXCR6	na	10663
CXORF21	na	80231
CXORF22	na	170063
CXORF23	na	256643
CXORF28	na	100129464
CXORF30	na	645090
CXORF36	na	79742
CXORF38	na	159013
CXORF40A	na	91966
CXORF40B	na	541578
CXORF49	na	100130361
CXORF49B	na	100132994
CXORF51A	na	100129239
CXORF51B	na	100133053
CXORF56	na	63932
CXORF57	na	55086
CXORF58	na	254158
CXORF65	na	158830
CXORF66	na	347487
CXXC1	na	30827
CXXC1P1	na	392459
CXXC4	na	80319
CXXC5	na	51523
CXorf21	na	80231
CXorf22	na	170063
CXorf23	na	256643
CXorf36	na	79742
CXorf38	na	159013
CXorf56	na	63932
CXorf57	na	55086
CXorf65	na	158830
CYB561	na	1534
CYB561A3	na	220002
CYB561D1	na	284613
CYB561D2	na	11068
CYB5A	na	1528
CYB5B	na	80777
CYB5D1	na	124637
CYB5D2	na	124936
CYB5R1	na	51706
CYB5R2	na	51700
CYB5R3	na	1727
CYB5R4	na	51167
CYB5RL	na	606495
CYBA	na	1535
CYBB	na	1536
CYBRD1	na	79901
CYC1	na	1537
CYCS	na	54205
CYCSP52	na	360155
CYFIP1	na	23191
CYFIP2	na	26999
CYGB	na	114757
CYHR1	na	50626
CYLC1	na	1538
CYLC2	na	1539
CYLD	na	1540
CYMP	na	643160
CYP11A1	na	1583
CYP11B1	na	1584
CYP11B2	na	1585
CYP17A1	na	1586
CYP19A1	na	1588
CYP1A1	na	1543
CYP1A2	na	1544
CYP1B1	na	1545
CYP1B1-AS1	na	285154
CYP20A1	na	57404
CYP21A2	na	1589
CYP24A1	na	1591
CYP26A1	na	1592
CYP26B1	na	56603
CYP26C1	na	340665
CYP27A1	na	1593
CYP27B1	na	1594
CYP27C1	na	339761
CYP2A13	na	1553
CYP2A6	na	1548
CYP2A7	na	1549
CYP2B6	na	1555
CYP2B7P	na	1556
CYP2C18	na	1562
CYP2C19	na	1557
CYP2C8	na	1558
CYP2C9	na	1559
CYP2D6	na	1565
CYP2D7P	na	1564
CYP2E1	na	1571
CYP2F1	na	1572
CYP2G1P	na	22952
CYP2J2	na	1573
CYP2R1	na	120227
CYP2S1	na	29785
CYP2U1	na	113612
CYP2W1	na	54905
CYP39A1	na	51302
CYP3A4	na	1576
CYP3A43	na	64816
CYP3A5	na	1577
CYP3A7	na	1551
CYP46A1	na	10858
CYP4A11	na	1579
CYP4A22	na	284541
CYP4B1	na	1580
CYP4F11	na	57834
CYP4F12	na	66002
CYP4F2	na	8529
CYP4F22	na	126410
CYP4F24P	na	388514
CYP4F29P	na	54055
CYP4F3	na	4051
CYP4F30P	na	100132708
CYP4F35P	na	284233
CYP4F8	na	11283
CYP4V2	na	285440
CYP4X1	na	260293
CYP4Z1	na	199974
CYP4Z2P	na	163720
CYP51A1	na	1595
CYP7A1	na	1581
CYP7B1	na	9420
CYP8B1	na	1582
CYR61	na	3491
CYS1	na	192668
CYSLTR1	na	10800
CYSLTR2	na	57105
CYSRT1	na	375791
CYSTM1	na	84418
CYTH1	na	9267
CYTH2	na	9266
CYTH3	na	9265
CYTH4	na	27128
CYTIP	na	9595
CYTL1	na	54360
CYYR1	na	116159
D21S2088E	na	266917
D2HGDH	na	728294
DAAM1	na	23002
DAAM2	na	23500
DAB1	na	1600
DAB2	na	1601
DAB2IP	na	153090
DACH1	na	1602
DACH2	na	117154
DACT1	na	51339
DACT2	na	168002
DACT3	na	147906
DAD1	na	1603
DAG1	na	1605
DAGLA	na	747
DAGLB	na	221955
DAK	na	26007
DALRD3	na	55152
DANCR	na	57291
DAND5	na	199699
DAO	na	1610
DAOA	na	267012
DAOA-AS1	na	282706
DAP	na	1611
DAP3	na	7818
DAPK1	na	1612
DAPK2	na	23604
DAPK3	na	1613
DAPL1	na	92196
DAPP1	na	27071
DARS	na	1615
DARS2	na	55157
DAW1	na	164781
DAXX	na	1616
DAZ1	na	1617
DAZ2	na	57055
DAZ3	na	57054
DAZ4	na	57135
DAZAP1	na	26528
DAZAP2	na	9802
DAZL	na	1618
DBF4	na	10926
DBF4B	na	80174
DBH	na	1621
DBI	na	1622
DBIL5P	na	100131454
DBIL5P2	na	100169989
DBN1	na	1627
DBNDD1	na	79007
DBNDD2	na	55861
DBNL	na	28988
DBP	na	1628
DBR1	na	51163
DBT	na	1629
DBX1	na	120237
DBX2	na	440097
DCAF10	na	79269
DCAF11	na	80344
DCAF12	na	25853
DCAF12L1	na	139170
DCAF12L2	na	340578
DCAF13	na	25879
DCAF15	na	90379
DCAF16	na	54876
DCAF17	na	80067
DCAF4	na	26094
DCAF4L1	na	285429
DCAF4L2	na	138009
DCAF5	na	8816
DCAF6	na	55827
DCAF7	na	10238
DCAF8	na	50717
DCAF8L1	na	139425
DCAF8L2	na	347442
DCAKD	na	79877
DCANP1	na	140947
DCBLD1	na	285761
DCBLD2	na	131566
DCC	na	1630
DCD	na	117159
DCDC1	na	341019
DCDC2	na	51473
DCDC2B	na	149069
DCDC2C	na	728597
DCDC5	na	100506627
DCHS1	na	8642
DCHS2	na	54798
DCK	na	1633
DCLK1	na	9201
DCLK2	na	166614
DCLK3	na	85443
DCLRE1A	na	9937
DCLRE1B	na	64858
DCLRE1C	na	64421
DCN	na	1634
DCP1A	na	55802
DCP1B	na	196513
DCP2	na	167227
DCPS	na	28960
DCST1	na	149095
DCST2	na	127579
DCSTAMP	na	81501
DCT	na	1638
DCTD	na	1635
DCTN1	na	1639
DCTN2	na	10540
DCTN3	na	11258
DCTN4	na	51164
DCTN5	na	84516
DCTN6	na	10671
DCTPP1	na	79077
DCUN1D1	na	54165
DCUN1D2	na	55208
DCUN1D3	na	123879
DCUN1D4	na	23142
DCUN1D5	na	84259
DCX	na	1641
DCXR	na	51181
DDA1	na	79016
DDAH1	na	23576
DDAH2	na	23564
DDB1	na	1642
DDB2	na	1643
DDC	na	1644
DDHD1	na	80821
DDHD2	na	23259
DDI1	na	414301
DDI2	na	84301
DDIAS	na	220042
DDIT3	na	1649
DDIT4	na	54541
DDIT4L	na	115265
DDN	na	23109
DDO	na	8528
DDOST	na	1650
DDR1	na	780
DDR2	na	4921
DDRGK1	na	65992
DDT	na	1652
DDTL	na	100037417
DDX1	na	1653
DDX10	na	1662
DDX11	na	1663
DDX11L1	na	100287102
DDX11L10	na	100287029
DDX11L2	na	84771
DDX11L9	na	100288486
DDX12P	na	440081
DDX17	na	10521
DDX18	na	8886
DDX19A	na	55308
DDX19B	na	11269
DDX20	na	11218
DDX21	na	9188
DDX23	na	9416
DDX24	na	57062
DDX25	na	29118
DDX26B	na	203522
DDX27	na	55661
DDX28	na	55794
DDX31	na	64794
DDX39A	na	10212
DDX39B	na	7919
DDX3X	na	1654
DDX3Y	na	8653
DDX4	na	54514
DDX41	na	51428
DDX42	na	11325
DDX43	na	55510
DDX46	na	9879
DDX47	na	51202
DDX49	na	54555
DDX5	na	1655
DDX50	na	79009
DDX51	na	317781
DDX52	na	11056
DDX53	na	168400
DDX54	na	79039
DDX55	na	57696
DDX56	na	54606
DDX58	na	23586
DDX59	na	83479
DDX6	na	1656
DDX60	na	55601
DDX60L	na	91351
DEAF1	na	10522
DEC1	na	50514
DECR1	na	1666
DECR2	na	26063
DEDD	na	9191
DEDD2	na	162989
DEF6	na	50619
DEF8	na	54849
DEFA1	na	1667
DEFA10P	na	449493
DEFA1B	na	728358
DEFA3	na	1668
DEFA4	na	1669
DEFA5	na	1670
DEFA6	na	1671
DEFB1	na	1672
DEFB103A	na	414325
DEFB103B	na	55894
DEFB104A	na	140596
DEFB104B	na	503618
DEFB105A	na	245908
DEFB105B	na	504180
DEFB106A	na	245909
DEFB106B	na	503841
DEFB107A	na	245910
DEFB107B	na	503614
DEFB108B	na	245911
DEFB109P1B	na	641517
DEFB110	na	245913
DEFB112	na	245915
DEFB113	na	245927
DEFB114	na	245928
DEFB115	na	245929
DEFB116	na	245930
DEFB118	na	117285
DEFB119	na	245932
DEFB121	na	245934
DEFB122	na	245935
DEFB123	na	245936
DEFB124	na	245937
DEFB125	na	245938
DEFB126	na	81623
DEFB127	na	140850
DEFB128	na	245939
DEFB129	na	140881
DEFB130	na	245940
DEFB131	na	644414
DEFB132	na	400830
DEFB133	na	403339
DEFB134	na	613211
DEFB135	na	613209
DEFB136	na	613210
DEFB4A	na	1673
DEFB4B	na	100289462
DEFT1P	na	170949
DEFT1P2	na	100287083
DEGS1	na	8560
DEGS2	na	123099
DEK	na	7913
DENND1A	na	57706
DENND1B	na	163486
DENND1C	na	79958
DENND2A	na	27147
DENND2C	na	163259
DENND2D	na	79961
DENND3	na	22898
DENND4A	na	10260
DENND4B	na	9909
DENND4C	na	55667
DENND5A	na	23258
DENND5B	na	160518
DENND6A	na	201627
DENND6B	na	414918
DENR	na	8562
DEPDC1	na	55635
DEPDC1B	na	55789
DEPDC4	na	120863
DEPDC5	na	9681
DEPDC7	na	91614
DEPTOR	na	64798
DERA	na	51071
DERL1	na	79139
DERL2	na	51009
DERL3	na	91319
DES	na	1674
DESI1	na	27351
DESI2	na	51029
DET1	na	55070
DEXI	na	28955
DFFA	na	1676
DFFB	na	1677
DFNA5	na	1687
DFNB31	na	25861
DFNB59	na	494513
DGAT1	na	8694
DGAT2	na	84649
DGAT2L6	na	347516
DGCR10	na	26222
DGCR11	na	25786
DGCR14	na	8220
DGCR2	na	9993
DGCR5	na	26220
DGCR6	na	8214
DGCR6L	na	85359
DGCR8	na	54487
DGCR9	na	25787
DGKA	na	1606
DGKB	na	1607
DGKD	na	8527
DGKE	na	8526
DGKG	na	1608
DGKH	na	160851
DGKI	na	9162
DGKK	na	139189
DGKQ	na	1609
DGKZ	na	8525
DGUOK	na	1716
DHCR24	na	1718
DHCR7	na	1717
DHDDS	na	79947
DHDH	na	27294
DHFR	na	1719
DHFRL1	na	200895
DHH	na	50846
DHODH	na	1723
DHPS	na	1725
DHRS1	na	115817
DHRS11	na	79154
DHRS12	na	79758
DHRS13	na	147015
DHRS2	na	10202
DHRS3	na	9249
DHRS4	na	10901
DHRS4-AS1	na	55449
DHRS4L1	na	728635
DHRS4L2	na	317749
DHRS7	na	51635
DHRS7B	na	25979
DHRS7C	na	201140
DHRS9	na	10170
DHRSX	na	207063
DHTKD1	na	55526
DHX15	na	1665
DHX16	na	8449
DHX29	na	54505
DHX30	na	22907
DHX32	na	55760
DHX33	na	56919
DHX34	na	9704
DHX35	na	60625
DHX36	na	170506
DHX37	na	57647
DHX38	na	9785
DHX40	na	79665
DHX57	na	90957
DHX58	na	79132
DHX8	na	1659
DHX9	na	1660
DIABLO	na	56616
DIAPH1	na	1729
DIAPH2	na	1730
DIAPH3	na	81624
DICER1	na	23405
DICER1-AS1	na	400242
DIDO1	na	11083
DIEXF	na	27042
DIMT1	na	27292
DIO1	na	1733
DIO2	na	1734
DIO3	na	1735
DIO3OS	na	64150
DIP2A	na	23181
DIP2B	na	57609
DIP2C	na	22982
DIRAS1	na	148252
DIRAS2	na	54769
DIRAS3	na	9077
DIRC1	na	116093
DIRC2	na	84925
DIRC3	na	729582
DIS3	na	22894
DIS3L	na	115752
DIS3L2	na	129563
DISC1	na	27185
DISC2	na	27184
DISP1	na	84976
DISP2	na	85455
DIXDC1	na	85458
DKC1	na	1736
DKFZP434A062	na	26102
DKFZP434H168	na	26077
DKFZP434I0714	na	54553
DKFZP434J0226	na	93429
DKFZP434K028	na	26070
DKFZP434L187	na	26082
DKFZP434L192	na	222029
DKFZP451B082	na	401282
DKFZP586I1420	na	222161
DKFZP686K1684	na	440034
DKFZP779M0652	na	374387
DKK1	na	22943
DKK2	na	27123
DKK3	na	27122
DKK4	na	27121
DKKL1	na	27120
DLAT	na	1737
DLC1	na	10395
DLD	na	1738
DLEC1	na	9940
DLEU1	na	10301
DLEU2	na	8847
DLEU2L	na	79469
DLEU7	na	220107
DLG1	na	1739
DLG2	na	1740
DLG3	na	1741
DLG4	na	1742
DLG5	na	9231
DLGAP1	na	9229
DLGAP2	na	9228
DLGAP3	na	58512
DLGAP4	na	22839
DLGAP5	na	9787
DLK1	na	8788
DLK2	na	65989
DLL1	na	28514
DLL3	na	10683
DLL4	na	54567
DLST	na	1743
DLX1	na	1745
DLX2	na	1746
DLX3	na	1747
DLX4	na	1748
DLX5	na	1749
DLX6	na	1750
DLX6-AS1	na	285987
DMAP1	na	55929
